condition,frame_idx,class,confidence_mean,confidence_std,latency_ms,hardware
baseline,84,bottle,0.8249,0.0277,126.53,laptop
baseline,85,cup,0.7622,0.0441,130.8,laptop
baseline,85,dining table,0.7158,0.0476,130.8,laptop
baseline,85,chair,0.7015,0.05,130.8,laptop
baseline,86,cup,0.8586,0.0627,162.76,laptop
baseline,86,book,0.9022,0.0454,162.76,laptop
baseline,87,cup,0.8761,0.049,110.46,laptop
baseline,88,dining table,0.7954,0.0373,162.87,laptop
baseline,88,tv,0.856,0.0389,162.87,laptop
baseline,88,book,0.8848,0.069,162.87,laptop
baseline,88,laptop,0.8044,0.0317,162.87,laptop
baseline,89,remote,0.7777,0.0657,88.93,laptop
baseline,89,chair,0.7542,0.0532,88.93,laptop
baseline,89,mouse,0.9148,0.0448,88.93,laptop
baseline,89,person,0.6841,0.0683,88.93,laptop
baseline,90,dining table,0.6769,0.0655,163.27,laptop
baseline,90,person,0.8451,0.0405,163.27,laptop
baseline,90,mouse,0.9119,0.0237,163.27,laptop
baseline,91,remote,0.7573,0.024,115.47,laptop
baseline,91,book,0.8801,0.063,115.47,laptop
baseline,91,chair,0.9076,0.0513,115.47,laptop
baseline,92,person,0.8167,0.0317,163.51,laptop
baseline,92,mouse,0.8987,0.0699,163.51,laptop
baseline,92,remote,0.6744,0.0689,163.51,laptop
baseline,92,mouse,0.8401,0.025,163.51,laptop
baseline,93,person,0.6624,0.0598,147.46,laptop
baseline,93,cup,0.7468,0.0415,147.46,laptop
baseline,94,keyboard,0.8341,0.029,132.8,laptop
baseline,94,cell phone,0.6713,0.0635,132.8,laptop
baseline,95,dining table,0.8965,0.0272,146.48,laptop
baseline,95,dining table,0.8222,0.043,146.48,laptop
baseline,95,mouse,0.6525,0.0602,146.48,laptop
baseline,95,cup,0.833,0.0279,146.48,laptop
baseline,95,dining table,0.9052,0.0694,146.48,laptop
baseline,96,chair,0.8364,0.0428,142.5,laptop
baseline,96,cup,0.7038,0.0392,142.5,laptop
baseline,96,dining table,0.6788,0.0391,142.5,laptop
baseline,97,remote,0.7297,0.0689,136.73,laptop
baseline,97,mouse,0.7569,0.0204,136.73,laptop
baseline,97,mouse,0.8601,0.0687,136.73,laptop
baseline,98,cup,0.8595,0.0315,152.07,laptop
baseline,98,book,0.7091,0.0295,152.07,laptop
baseline,98,cup,0.833,0.056,152.07,laptop
baseline,98,mouse,0.8338,0.0268,152.07,laptop
baseline,98,bottle,0.8939,0.0523,152.07,laptop
baseline,99,person,0.8065,0.0566,155.97,laptop
baseline,99,bottle,0.8956,0.0363,155.97,laptop
baseline,99,chair,0.6974,0.0266,155.97,laptop
