condition,frame_idx,class,confidence_mean,confidence_std,latency_ms,hardware,novelty_label
novel_objects,43,laptop,0.5368,0.0978,145.62,laptop,novel_object
novel_objects,44,remote,0.6759,0.1344,100.39,laptop,novel_object
novel_objects,44,remote,0.6255,0.1832,100.39,laptop,novel_object
novel_objects,45,keyboard,0.5994,0.1293,161.02,laptop,novel_object
novel_objects,46,cell phone,0.7709,0.1369,172.14,laptop,novel_object
novel_objects,46,person,0.5268,0.1552,172.14,laptop,novel_object
novel_objects,47,dining table,0.7793,0.1707,150.34,laptop,novel_object
novel_objects,47,person,0.559,0.252,150.34,laptop,novel_object
novel_objects,47,bottle,0.6293,0.0786,150.34,laptop,novel_object
novel_objects,47,cup,0.7197,0.1472,150.34,laptop,novel_object
novel_objects,48,dining table,0.5316,0.16,133.76,laptop,novel_object
novel_objects,48,bottle,0.622,0.1393,133.76,laptop,novel_object
novel_objects,49,cell phone,0.6576,0.2666,96.12,laptop,novel_object
novel_objects,49,tv,0.4903,0.1149,96.12,laptop,novel_object
novel_objects,49,person,0.735,0.143,96.12,laptop,novel_object
novel_objects,49,bottle,0.5279,0.1352,96.12,laptop,novel_object
novel_objects,50,laptop,0.4529,0.1907,146.75,laptop,novel_object
novel_objects,51,bottle,0.5321,0.0943,156.41,laptop,novel_object
novel_objects,51,mouse,0.4698,0.14,156.41,laptop,novel_object
novel_objects,52,laptop,0.5545,0.0893,131.67,laptop,novel_object
novel_objects,52,mouse,0.6997,0.151,131.67,laptop,novel_object
novel_objects,53,cell phone,0.5327,0.1855,119.75,laptop,novel_object
novel_objects,53,tv,0.68,0.1515,119.75,laptop,novel_object
novel_objects,53,cell phone,0.6294,0.1249,119.75,laptop,novel_object
novel_objects,53,keyboard,0.7518,0.1702,119.75,laptop,novel_object
novel_objects,54,tv,0.5711,0.1992,118.21,laptop,novel_object
novel_objects,55,book,0.7061,0.0782,139.69,laptop,novel_object
novel_objects,55,remote,0.4709,0.1943,139.69,laptop,novel_object
novel_objects,55,mouse,0.6142,0.1286,139.69,laptop,novel_object
novel_objects,55,keyboard,0.5434,0.184,139.69,laptop,novel_object
novel_objects,56,cell phone,0.509,0.154,156.83,laptop,novel_object
novel_objects,57,chair,0.6671,0.094,147.32,laptop,novel_object
novel_objects,58,remote,0.4734,0.1586,138.72,laptop,novel_object
novel_objects,58,bottle,0.6045,0.1313,138.72,laptop,novel_object
novel_objects,58,book,0.6341,0.1688,138.72,laptop,novel_object
novel_objects,59,cup,0.6246,0.183,135.19,laptop,novel_object
novel_objects,60,laptop,0.6254,0.1536,97.82,laptop,novel_object
novel_objects,61,tv,0.587,0.1737,173.37,laptop,novel_object
novel_objects,61,dining table,0.6818,0.1663,173.37,laptop,novel_object
novel_objects,62,book,0.667,0.1564,152.87,laptop,novel_object
novel_objects,63,book,0.7288,0.1137,194.3,laptop,novel_object
novel_objects,63,mouse,0.5921,0.1338,194.3,laptop,novel_object
novel_objects,63,laptop,0.5738,0.0994,194.3,laptop,novel_object
novel_objects,63,remote,0.5338,0.1717,194.3,laptop,novel_object
novel_objects,64,keyboard,0.4554,0.2611,138.5,laptop,novel_object
novel_objects,65,person,0.7046,0.1923,184.45,laptop,novel_object
novel_objects,65,tv,0.6336,0.1206,184.45,laptop,novel_object
novel_objects,66,cup,0.5711,0.1586,168.04,laptop,novel_object
novel_objects,66,laptop,0.5346,0.1279,168.04,laptop,novel_object
novel_objects,67,remote,0.5571,0.1055,175.89,laptop,novel_object
novel_objects,67,remote,0.6402,0.1438,175.89,laptop,novel_object
novel_objects,68,person,0.7542,0.1527,189.2,laptop,novel_object
novel_objects,68,chair,0.5875,0.1809,189.2,laptop,novel_object
novel_objects,68,mouse,0.7303,0.0953,189.2,laptop,novel_object
novel_objects,69,keyboard,0.4994,0.1522,173.73,laptop,novel_object
novel_objects,69,laptop,0.5006,0.0923,173.73,laptop,novel_object
novel_objects,69,keyboard,0.6398,0.1056,173.73,laptop,novel_object
novel_objects,69,chair,0.4988,0.1224,173.73,laptop,novel_object
novel_objects,70,chair,0.6156,0.1424,169.35,laptop,novel_object
novel_objects,70,tv,0.5154,0.1243,169.35,laptop,novel_object
novel_objects,70,keyboard,0.5147,0.1035,169.35,laptop,novel_object
novel_objects,70,bottle,0.5379,0.1074,169.35,laptop,novel_object
novel_objects,71,laptop,0.5558,0.1601,164.64,laptop,novel_object
novel_objects,72,dining table,0.6557,0.1219,146.88,laptop,novel_object
novel_objects,73,bottle,0.4871,0.2455,152.52,laptop,novel_object
novel_objects,73,cell phone,0.7367,0.1421,152.52,laptop,novel_object
novel_objects,74,dining table,0.4575,0.1495,141.24,laptop,novel_object
novel_objects,75,keyboard,0.6909,0.2326,175.04,laptop,novel_object
novel_objects,75,mouse,0.6238,0.1761,175.04,laptop,novel_object
novel_objects,75,person,0.5437,0.2163,175.04,laptop,novel_object
novel_objects,76,mouse,0.7312,0.1826,170.41,laptop,novel_object
novel_objects,77,chair,0.6178,0.1237,102.8,laptop,novel_object
novel_objects,77,keyboard,0.6254,0.0771,102.8,laptop,novel_object
novel_objects,77,tv,0.769,0.1729,102.8,laptop,novel_object
novel_objects,77,cup,0.5601,0.1224,102.8,laptop,novel_object
novel_objects,78,cup,0.5279,0.1452,182.71,laptop,novel_object
novel_objects,78,tv,0.541,0.1614,182.71,laptop,novel_object
novel_objects,79,cup,0.5244,0.1237,152.33,laptop,novel_object
novel_objects,80,mouse,0.6521,0.1248,165.94,laptop,novel_object
novel_objects,80,cell phone,0.5907,0.1247,165.94,laptop,novel_object
novel_objects,80,keyboard,0.5587,0.1203,165.94,laptop,novel_object
novel_objects,80,tv,0.6757,0.1346,165.94,laptop,novel_object
novel_objects,81,cell phone,0.5919,0.1837,130.85,laptop,novel_object
novel_objects,81,cell phone,0.6666,0.1852,130.85,laptop,novel_object
novel_objects,82,cell phone,0.6899,0.146,139.19,laptop,novel_object
novel_objects,83,remote,0.7581,0.1949,93.75,laptop,novel_object
novel_objects,83,laptop,0.4852,0.0969,93.75,laptop,novel_object
novel_objects,83,keyboard,0.6536,0.1075,93.75,laptop,novel_object
novel_objects,83,laptop,0.6768,0.1146,93.75,laptop,novel_object
novel_objects,84,mouse,0.5734,0.1833,177.2,laptop,novel_object
novel_objects,84,dining table,0.6064,0.1511,177.2,laptop,novel_object
novel_objects,84,person,0.7554,0.1584,177.2,laptop,novel_object
novel_objects,84,laptop,0.695,0.2675,177.2,laptop,novel_object
novel_objects,85,dining table,0.677,0.182,141.89,laptop,novel_object
novel_objects,85,person,0.6506,0.0934,141.89,laptop,novel_object
novel_objects,85,remote,0.5533,0.1022,141.89,laptop,novel_object
novel_objects,85,tv,0.6617,0.1081,141.89,laptop,novel_object
novel_objects,86,person,0.7397,0.1357,117.83,laptop,novel_object
novel_objects,87,mouse,0.7677,0.1391,152.04,laptop,novel_object
novel_objects,87,dining table,0.5814,0.1211,152.04,laptop,novel_object
novel_objects,87,chair,0.5472,0.193,152.04,laptop,novel_object
novel_objects,87,remote,0.6206,0.1754,152.04,laptop,novel_object
novel_objects,88,keyboard,0.7595,0.1346,181.67,laptop,novel_object
novel_objects,89,remote,0.7456,0.1496,188.75,laptop,novel_object
novel_objects,89,mouse,0.7494,0.1312,188.75,laptop,novel_object
novel_objects,89,remote,0.692,0.1795,188.75,laptop,novel_object
novel_objects,89,bottle,0.6229,0.1655,188.75,laptop,novel_object
novel_objects,90,book,0.6366,0.1603,127.3,laptop,novel_object
novel_objects,90,cell phone,0.5035,0.2239,127.3,laptop,novel_object
novel_objects,91,cell phone,0.4888,0.1537,178.76,laptop,novel_object
novel_objects,91,cup,0.454,0.1549,178.76,laptop,novel_object
novel_objects,91,dining table,0.6294,0.2021,178.76,laptop,novel_object
novel_objects,91,keyboard,0.6676,0.1422,178.76,laptop,novel_object
novel_objects,92,tv,0.5418,0.1594,174.72,laptop,novel_object
novel_objects,92,laptop,0.4661,0.2402,174.72,laptop,novel_object
novel_objects,92,mouse,0.6408,0.175,174.72,laptop,novel_object
novel_objects,92,book,0.7537,0.1697,174.72,laptop,novel_object
novel_objects,93,remote,0.6809,0.1054,152.87,laptop,novel_object
novel_objects,93,remote,0.6411,0.1231,152.87,laptop,novel_object
novel_objects,93,bottle,0.7036,0.1117,152.87,laptop,novel_object
novel_objects,94,bottle,0.5466,0.1707,192.87,laptop,novel_object
novel_objects,94,tv,0.5865,0.1746,192.87,laptop,novel_object
novel_objects,94,laptop,0.652,0.1775,192.87,laptop,novel_object
novel_objects,94,bottle,0.6096,0.1708,192.87,laptop,novel_object
novel_objects,95,keyboard,0.7784,0.1658,101.5,laptop,novel_object
novel_objects,95,cell phone,0.6527,0.0915,101.5,laptop,novel_object
novel_objects,95,cell phone,0.7416,0.1411,101.5,laptop,novel_object
novel_objects,96,bottle,0.6934,0.1398,221.46,laptop,novel_object
novel_objects,96,keyboard,0.7797,0.1168,221.46,laptop,novel_object
novel_objects,96,mouse,0.5201,0.1539,221.46,laptop,novel_object
novel_objects,97,tv,0.5569,0.2187,144.74,laptop,novel_object
novel_objects,97,book,0.5807,0.0709,144.74,laptop,novel_object
novel_objects,97,laptop,0.5591,0.108,144.74,laptop,novel_object
novel_objects,98,dining table,0.5013,0.1131,183.61,laptop,novel_object
novel_objects,98,tv,0.7457,0.0865,183.61,laptop,novel_object
novel_objects,98,person,0.7256,0.1529,183.61,laptop,novel_object
novel_objects,98,remote,0.6738,0.1345,183.61,laptop,novel_object
novel_objects,99,book,0.4719,0.174,143.35,laptop,novel_object
novel_objects,99,chair,0.6567,0.1864,143.35,laptop,novel_object
novel_objects,99,keyboard,0.6499,0.1457,143.35,laptop,novel_object
